dataset,frame_id,epsilon_strict,min_support_strict,inlier_ratio_strict,residual_strict,epsilon_standard,min_support_standard,inlier_ratio_standard,residual_standard,epsilon_loose,min_support_loose,inlier_ratio_loose,residual_loose,epsilon_rl,min_support_rl,inlier_ratio_rl,residual_rl,epsilon_rl_v2_reward,min_support_rl_v2_reward,inlier_ratio_rl_v2_reward,residual_rl_v2_reward,winner
SeasonalForestWinterNight,000000_lcam_front_lidar.ply,0.10002,799,0.08616,0.10001,0.15001,500,0.14866,0.1526,0.25,200,0.02026,0.23819,0.2,800,0.11145,0.19151,0.2,800,0.09619,0.17477,standard
SeasonalForestWinterNight,000001_lcam_front_lidar.ply,0.10002,799,0.08573,0.09937,0.15001,500,0.06295,0.13153,0.25,200,0.00492,0.00568,0.2,800,0.11627,0.21157,0.2,800,0.12537,0.22886,rl_v2_reward
SeasonalForestWinterNight,000002_lcam_front_lidar.ply,0.10002,799,0.0819,0.10602,0.15001,500,0.0451,0.11945,0.25,200,0.0055,0.01881,0.2,800,0.11412,0.20344,0.2,800,0.12491,0.222,rl_v2_reward
SeasonalForestWinterNight,000003_lcam_front_lidar.ply,0.10002,799,0.05692,0.08557,0.15001,500,0.04998,0.12697,0.25,200,0.00486,0.00514,0.2,800,0.08925,0.19127,0.2,800,0.07106,0.18928,rl
SeasonalForestWinterNight,000004_lcam_front_lidar.ply,0.10002,799,0.05048,0.09678,0.15001,500,0.07161,0.17005,0.25,200,0.0056,0.01965,0.2,800,0.0636,0.15213,0.2,800,0.06491,0.16891,standard
SeasonalForestWinterNight,000005_lcam_front_lidar.ply,0.10002,799,0.0503,0.09369,0.15001,500,0.11176,0.17583,0.25,200,0.06904,0.17043,0.2,800,0.09664,0.2142,0.2,800,0.06276,0.18235,standard
SeasonalForestWinterNight,000006_lcam_front_lidar.ply,0.10002,799,0.06056,0.08881,0.15001,500,0.04775,0.13948,0.25,200,0.00559,0.01982,0.2,800,0.08497,0.21815,0.2,800,0.05857,0.17324,rl
SeasonalForestWinterNight,000007_lcam_front_lidar.ply,0.10002,799,0.0,0.0,0.15001,500,0.0525,0.14302,0.25,200,0.01926,0.19635,0.2,800,0.08242,0.21393,0.2,800,0.05042,0.1658,rl
SeasonalForestWinterNight,000008_lcam_front_lidar.ply,0.10002,799,0.05756,0.10398,0.15001,500,0.04616,0.14902,0.25,200,0.01055,0.24242,0.2,800,0.07022,0.22984,0.2,800,0.07407,0.22442,rl_v2_reward
SeasonalForestWinterNight,000009_lcam_front_lidar.ply,0.10002,799,0.05371,0.08736,0.15001,500,0.04478,0.16328,0.25,200,0.01844,0.23513,0.2,800,0.08428,0.21029,0.2,800,0.07713,0.21026,rl
SeasonalForestWinterNight,000010_lcam_front_lidar.ply,0.10002,799,0.07506,0.105,0.15001,500,0.02401,0.1288,0.25,200,0.0138,0.26065,0.2,800,0.13441,0.23114,0.2,800,0.0751,0.19174,rl
SeasonalForestWinterNight,000011_lcam_front_lidar.ply,0.10002,799,0.03706,0.11615,0.15001,500,0.04063,0.15535,0.25,200,0.02,0.22979,0.2,800,0.08514,0.21186,0.2,800,0.09892,0.21409,rl_v2_reward
SeasonalForestWinterNight,000012_lcam_front_lidar.ply,0.10002,799,0.0764,0.09206,0.15001,500,0.01664,0.14267,0.25,200,0.00462,0.08005,0.2,800,0.09031,0.20765,0.2,800,0.08681,0.19725,rl
SeasonalForestWinterNight,000013_lcam_front_lidar.ply,0.10002,799,0.1386,0.11566,0.15001,500,0.04641,0.16514,0.25,200,0.01382,0.21672,0.2,800,0.08092,0.19942,0.2,800,0.08216,0.2121,strict
SeasonalForestWinterNight,000014_lcam_front_lidar.ply,0.10002,799,0.16155,0.10713,0.15001,500,0.03585,0.14437,0.25,200,0.00551,0.01417,0.2,800,0.07277,0.21011,0.2,800,0.07281,0.20996,strict
SeasonalForestWinterNight,000015_lcam_front_lidar.ply,0.10002,799,0.18036,0.09712,0.15001,500,0.04473,0.15039,0.25,200,0.00635,0.01533,0.2,800,0.08004,0.2055,0.2,800,0.07676,0.20451,strict
SeasonalForestWinterNight,000016_lcam_front_lidar.ply,0.10002,799,0.17827,0.10104,0.15001,500,0.05904,0.15728,0.25,200,0.00642,0.01722,0.2,800,0.09662,0.20932,0.2,800,0.08632,0.20406,strict
SeasonalForestWinterNight,000017_lcam_front_lidar.ply,0.10002,799,0.22307,0.09657,0.15001,500,0.0718,0.14995,0.25,200,0.01341,0.18438,0.2,800,0.00231,0.00128,0.2,800,0.0045,0.05483,strict
SeasonalForestWinterNight,000018_lcam_front_lidar.ply,0.10002,799,0.00032,5e-05,0.15001,500,0.0659,0.14957,0.25,200,0.0067,0.02542,0.2,800,0.09896,0.20194,0.2,800,0.09959,0.20389,rl_v2_reward
SeasonalForestWinterNight,000019_lcam_front_lidar.ply,0.10002,799,0.00077,0.00085,0.15001,500,0.0498,0.15545,0.25,200,0.00538,0.00988,0.2,800,0.00188,0.09837,0.2,800,0.09723,0.20689,rl_v2_reward
SeasonalForestWinterNight,000020_lcam_front_lidar.ply,0.10002,799,0.00502,0.08132,0.15001,500,0.06328,0.15006,0.25,200,0.00888,0.04043,0.2,800,0.118,0.21409,0.2,800,0.11342,0.20715,rl
SeasonalForestWinterNight,000021_lcam_front_lidar.ply,0.10002,799,0.04513,0.09215,0.15001,500,0.07529,0.15937,0.25,200,0.00185,0.00126,0.2,800,0.03625,0.1616,0.2,800,0.11326,0.20042,rl_v2_reward
SeasonalForestWinterNight,000022_lcam_front_lidar.ply,0.10002,799,0.05762,0.11353,0.15001,500,0.03502,0.14412,0.25,200,0.00047,0.21655,0.2,800,0.18088,0.23457,0.2,800,0.11095,0.20319,rl
SeasonalForestWinterNight,000023_lcam_front_lidar.ply,0.10002,799,0.26156,0.08492,0.15001,500,0.00154,0.07524,0.25,200,0.00469,0.00401,0.2,800,0.00525,0.00383,0.2,800,0.11714,0.20452,strict
SeasonalForestWinterNight,000024_lcam_front_lidar.ply,0.10002,799,0.06146,0.09888,0.15001,500,0.06863,0.16198,0.25,200,0.05564,0.19672,0.2,800,0.16396,0.18615,0.2,800,0.11007,0.19923,rl
SeasonalForestWinterNight,000025_lcam_front_lidar.ply,0.10002,799,0.09608,0.0937,0.15001,500,0.00837,0.09483,0.25,200,0.00552,0.02494,0.2,800,0.05133,0.16299,0.2,800,0.12552,0.2074,rl_v2_reward
SeasonalForestWinterNight,000026_lcam_front_lidar.ply,0.10002,799,0.0229,0.10064,0.15001,500,0.05261,0.15214,0.25,200,0.09499,0.25261,0.2,800,0.12787,0.21432,0.2,800,0.12034,0.20466,rl
SeasonalForestWinterNight,000027_lcam_front_lidar.ply,0.10002,799,0.05262,0.10255,0.15001,500,0.0762,0.17107,0.25,200,0.01834,0.18393,0.2,800,0.05363,0.15807,0.2,800,0.05784,0.16582,standard
SeasonalForestWinterNight,000028_lcam_front_lidar.ply,0.10002,799,0.06629,0.13479,0.15001,500,0.10188,0.21191,0.25,200,0.02497,0.1912,0.2,800,0.11956,0.20032,0.25,800,0.12612,0.23633,rl_v2_reward
SeasonalForestWinterNight,000029_lcam_front_lidar.ply,0.10002,799,0.17609,0.08808,0.15001,500,0.04184,0.13839,0.25,200,0.01866,0.18686,0.2,800,0.15144,0.19177,0.25,800,0.12499,0.24354,strict
SeasonalForestWinterNight,000030_lcam_front_lidar.ply,0.10002,799,0.06078,0.09865,0.15001,500,0.04603,0.15966,0.25,200,0.10319,0.2466,0.2,800,0.12885,0.21672,0.25,800,0.00088,0.0002,rl
SeasonalForestWinterNight,000031_lcam_front_lidar.ply,0.10002,799,0.08479,0.09989,0.15001,500,0.06748,0.16191,0.25,200,0.00631,0.01501,0.2,800,0.12961,0.21561,0.25,800,0.05735,0.21056,rl
SeasonalForestWinterNight,000032_lcam_front_lidar.ply,0.10002,799,0.08536,0.0965,0.15001,500,0.03352,0.13337,0.25,200,0.00312,0.30326,0.2,800,0.00293,0.04672,0.25,800,0.12785,0.24341,rl_v2_reward
SeasonalForestWinterNight,000033_lcam_front_lidar.ply,0.10002,799,0.02219,0.10431,0.15001,500,0.0408,0.13178,0.25,200,0.03584,0.2102,0.2,800,0.12962,0.23637,0.25,800,0.12597,0.2435,rl
SeasonalForestWinterNight,000034_lcam_front_lidar.ply,0.10002,799,0.04047,0.12178,0.15001,500,0.04917,0.14357,0.25,200,0.09989,0.23807,0.2,800,0.06378,0.1889,0.25,800,0.13015,0.25381,rl_v2_reward
SeasonalForestWinterNight,000035_lcam_front_lidar.ply,0.10002,799,0.04149,0.09576,0.15001,500,0.06169,0.15396,0.25,200,0.00592,0.02654,0.2,800,0.12952,0.26397,0.25,800,0.14122,0.25743,rl_v2_reward
SeasonalForestWinterNight,000036_lcam_front_lidar.ply,0.10002,799,0.03779,0.07076,0.15001,500,0.05443,0.14735,0.25,200,0.00127,0.00078,0.2,800,0.18292,0.24993,0.25,800,0.13703,0.25415,rl
SeasonalForestWinterNight,000037_lcam_front_lidar.ply,0.10002,799,0.04273,0.13239,0.15001,500,0.09148,0.20542,0.25,200,0.01699,0.20186,0.2,800,0.16763,0.22808,0.25,800,0.20572,0.2912,rl_v2_reward
SeasonalForestWinterNight,000038_lcam_front_lidar.ply,0.10002,799,0.16902,0.09358,0.15001,500,0.05362,0.1534,0.25,200,0.01551,0.17766,0.2,800,0.16709,0.24182,0.25,800,0.12101,0.25317,strict
SeasonalForestWinterNight,000039_lcam_front_lidar.ply,0.10002,799,0.17727,0.0996,0.15001,500,0.05144,0.16724,0.25,200,0.02093,0.20489,0.2,800,0.1792,0.24763,0.25,800,0.19935,0.27916,rl_v2_reward
SeasonalForestWinterNight,000040_lcam_front_lidar.ply,0.10002,799,0.18136,0.09804,0.15001,500,0.03042,0.15387,0.25,200,0.00655,0.0219,0.2,800,0.02887,0.18388,0.25,800,0.21209,0.30217,rl_v2_reward
SeasonalForestWinterNight,000041_lcam_front_lidar.ply,0.10002,799,0.18931,0.10622,0.15001,500,0.04678,0.15658,0.25,200,0.00703,0.02219,0.2,800,0.16779,0.21511,0.25,800,0.21668,0.30487,rl_v2_reward
SeasonalForestWinterNight,000042_lcam_front_lidar.ply,0.10002,799,0.17542,0.08938,0.15001,500,0.04421,0.16665,0.25,200,0.01026,0.14549,0.2,800,0.13767,0.22635,0.25,800,0.13971,0.25848,strict
SeasonalForestWinterNight,000043_lcam_front_lidar.ply,0.10002,799,0.19137,0.09985,0.15001,500,0.03403,0.17191,0.25,200,0.00551,0.01434,0.2,800,0.19046,0.24795,0.25,800,0.05822,0.22811,strict
SeasonalForestWinterNight,000044_lcam_front_lidar.ply,0.10002,799,0.17567,0.09193,0.15001,500,0.05955,0.17709,0.25,200,0.09151,0.24004,0.2,800,0.18452,0.22331,0.25,800,0.05818,0.2083,rl
SeasonalForestWinterNight,000045_lcam_front_lidar.ply,0.10002,799,0.17844,0.1015,0.15001,500,0.0226,0.11926,0.25,200,0.09914,0.23646,0.2,800,0.05495,0.19398,0.25,800,0.02624,0.17433,strict
SeasonalForestWinterNight,000046_lcam_front_lidar.ply,0.10002,799,0.1748,0.09643,0.15001,500,0.01518,0.14687,0.25,200,0.08799,0.24541,0.2,800,0.17811,0.22907,0.2,800,0.18165,0.23161,rl_v2_reward
